지역명(쿼리용),지역평균고도,강수계속시간,최다강수량(1H),일강수량,최대풍속,평균기온,전일침수발생여부,침수발생여부(지도학습용)
강남,10,15,7,27,4.3,25.3,0,1
강남,10,24,21.5,35.5,5.2,25.2,1,1
강남,10,1,11,11,2.7,27.3,1,1
강남,10,24,24.5,51,4.2,26.3,1,1
강남,10,24,52.5,143,3.6,25.7,1,1
강남,10,7,32,37.5,5.4,27.4,1,1
강남,10,19,40,75.5,3.8,25.7,1,1
강남,10,24,40.5,88,6.1,26,1,1
강남,10,24,56,350.5,5.2,24,1,1
강남,10,0,0,0,3,26.1,1,1
강남,10,14,26,47.5,3.4,24.6,1,1
강남,10,22,24,42,4.4,27.1,1,1
강남,10,10,2.5,6,4.5,25.4,1,1
강남,10,0,0,0,4.2,26.9,1,1
강남,10,0,0,0,2.9,2.6,1,1
강남,10,24,28.5,47.5,5.2,24.4,1,1
강남,10,0,0,0,2.9,26.5,1,1
강남,10,0,0,0,3.9,26.2,1,1
강남,10,0,0,0,2.9,26.3,1,1
강남,10,21,0.5,0.5,5,26.7,0,1
강남,10,11,1.5,1.5,4.4,26.6,1,1
강남,10,20,2,2.5,4.3,27.8,1,1
강남,10,0,0,0,3.2,30.2,1,1
강남,10,0,0,0,5,29,1,1
강남,10,21,18,68.5,4.2,24.9,1,1
강남,10,24,5,19.5,3.5,25.1,1,1
강남,10,3,1.5,2,5.1,27.5,1,1
강남,10,20,20.5,34,5.4,25.8,1,1
강남,10,24,28.5,139.5,5.7,23.7,1,1
강남,10,24,37.5,186,4.1,21,1,1
강남,10,24,17.5,57.5,10.9,21.6,1,1
강남,10,19,0.5,0.5,6.7,24.7,1,1
강남,10,19,53.5,131.5,4.7,26.8,0,1
강남,10,4,3.5,3.5,8.7,28,1,1
강남,10,21,30.5,102,4.7,23.6,1,1
강남,10,24,47.5,202,4,22.3,1,1
강남,10,16,0.5,0.5,3,26.5,1,1
강남,10,0,0,0,3.8,26.9,1,1
강남,10,22,1.5,7.5,3.9,22.8,1,1
강남,10,24,1,4,4.2,21.4,1,1
강남,10,19,18,69.5,4,25.2,0,1
강남,10,24,51.5,147,7.9,22.9,1,1
강남,10,24,1,1,3.4,25.9,1,1
강남,10,0,0,0,3.2,24.7,1,1
강남,10,14,63,121,3.5,21.9,1,1
강남,10,8,0.5,1,3.5,26.8,0,1
강남,10,13,5.5,11,6.4,24.4,1,1
강남,10,0,0,0,3.6,25.6,1,1
강남,10,23,36,142,4.7,25,1,1
강남,10,24,7.5,17.5,4.2,26.9,1,1
강남,10,0,0,0,4.5,28.7,1,1
강남,10,23,19,51.5,6,25.1,1,1
강남,10,24,27,219.5,4.5,19.4,1,1
강남,10,24,6.5,37.5,2.7,19.9,1,1
강남,10,24,6.5,29,3.3,19.6,1,1
강남,10,24,1,1,2.9,22.5,1,1
강남,10,5,2,3.5,3,22.4,1,1
강남,10,24,1,2.5,3.8,22.6,1,1
강남,10,23,10.5,18.5,3.9,24.4,1,1
강남,10,0,0,0,2.3,24.3,1,1
강남,10,0,0,0,3.2,24.7,1,1
강남,10,0,0,0,2.3,26.1,1,1
강남,10,24,2.5,9,2.9,22.6,1,1
강남,10,22,29,166.5,4.3,21.6,1,1
강남,10,24,29,101,2.4,22.5,1,1
강남,10,24,4.5,8,2.5,25.2,1,1
강남,10,24,5,24.5,3.5,20.9,0,1
강남,10,24,26.5,76,3.3,21,1,1
강남,10,2,1,1,2.1,25,1,1
강남,10,24,25,136,4.7,21.3,1,1
강남,10,3,2,3.5,4,23.6,1,1
강남,10,24,42.5,190.5,7.4,24.1,1,1
강남,10,0,0,0,4,23.8,1,1
강남,10,0,0,0,3.7,27,1,1
강남,10,10,13.5,16,3.4,26.6,0,1
강남,10,17,0.5,0.5,2.8,26,1,1
강남,10,0,0,0,5,27,1,1
강남,10,20,71.5,293,5.1,22,1,1
강남,10,0,0,0,3.3,17.6,1,1
강남,10,0,0,0,3.6,25.5,0,1
강남,10,18,7,14,3,23.4,1,1
강남,10,19,9,31.5,5.3,22.9,1,1
강남,10,24,2.5,12.5,4,20.2,1,1
강남,10,21,9.5,37.5,4.5,18.3,1,1
강남,10,23,8.5,27.5,7.7,19.6,1,1
강남,10,21,2.5,9,5.6,20.1,1,1
강남,10,1,0.5,0.5,3,25.4,1,1
강남,10,24,35.5,193,4.2,21.5,1,1
강남,10,24,7,21.5,3.3,24.7,1,1
강남,10,0,0,0,3,26.5,1,1
강남,10,9,0.5,0.5,2.2,25.9,1,1
강남,10,22,37,118,3.6,23.4,1,1
강남,10,8,38,97,7.1,26.3,1,1
강남,10,24,72,320,4.3,24.4,1,1
강남,10,22,35.5,84,4.1,26,1,1
강남,10,24,11,12,3.1,27.6,1,1
강남,10,21,7.5,32,3.5,23.6,0,1
강남,10,24,53.5,145.5,4.1,21.4,1,1
강남,10,21,37.5,42.5,4.6,27.2,1,1
강남,10,4,6.5,9.5,2.9,27.2,1,1
강남,10,24,60.5,177,4.5,24.6,1,1
강남,10,0,0,0,2.6,26.7,1,1
강남,10,7,20.5,24,3.8,25.4,0,1
강남,10,24,1,1.5,3.4,26.2,1,1
강남,10,15,14,25.5,3.9,25.5,1,1
강남,10,17,16.5,35,4.9,24.4,1,1
강남,10,24,32.5,152,2.5,24.8,1,1
강남,10,23,7,17.5,5.3,24.8,1,1
강남,10,22,13.5,22.5,3.9,26.8,1,1
강남,10,23,58.5,141.5,4.3,27.1,1,1
강남,10,20,28.5,49,4.1,26.1,1,1
강남,10,6,53.5,70,6.7,22.7,0,1
강남,10,14,3,4,3,24.2,1,1
강남,10,21,1,3.5,3.6,22.3,1,1
강남,10,24,2,5,2.7,22.2,1,1
강남,10,20,1,1,1.8,25.2,1,1
강남,10,23,47.5,86,3.8,23,1,1
강남,10,12,30,115.5,3.3,24.6,0,1
강남,10,24,2,3.5,3.1,24.3,1,1
강남,10,0,0,0,2.6,24.1,1,1
강남,10,13,17.5,41,3.3,21.7,1,1
강남,10,24,38,110.5,4,24,1,1
강남,10,0,0,0,2.9,23.5,1,1
강남,10,14,2,2,2.6,24.5,1,1
강동,70,0,0,0,3,24.8,0,1
강동,70,0,0,0,6.4,24.2,1,1
강동,70,19,0.5,0.5,2.7,26.3,1,1
강동,70,13,27.5,48.5,3.6,25.4,1,1
강동,70,24,80.5,263.5,3.1,24.7,1,1
강동,70,7,54.5,66,6.2,24.7,1,1
강동,70,19,57.5,99,5.7,23,1,1
강동,70,24,65.5,129,5.7,24.1,1,1
강동,70,23,69,403.5,4.8,21.9,1,1
강동,70,0,0,0,3.1,23.6,1,1
강동,70,14,25.5,46.5,4.3,20.9,1,1
강동,70,22,24.5,30.5,4.6,23.4,1,1
강동,70,10,2.5,5.5,3.9,21.1,1,1
강동,70,0,0,0,3.9,24.6,1,1
강동,70,0,0,0,5,2.8,1,1
강동,70,24,24,40.5,4.9,24,1,1
강동,70,24,2.5,3,2.8,25.7,1,1
강동,70,0,0,0,4.4,25.8,1,1
강동,70,0,0,0,2.8,25.7,1,1
강동,70,1,1.5,1.5,2.7,25.3,0,1
강동,70,24,3,12,4.8,23.6,1,1
강동,70,24,20.5,127,2.8,22.5,1,1
강동,70,20,19,92.5,3.3,22.8,1,1
강동,70,24,10.5,33,3.4,25.9,1,1
강동,70,22,30,34,3.3,26.7,1,1
강동,70,23,1,1.5,2.2,28,1,1
강동,70,0,0,0,2.7,29,1,1
강동,70,11,6,27.5,8.3,26.3,1,1
강동,70,24,2,6.5,10.3,25.3,1,1
강동,70,19,39,113,4.6,27.5,0,1
강동,70,13,2.5,4.5,8,29.1,1,1
강동,70,21,37.5,139.5,5.2,24.2,1,1
강동,70,24,43.5,182.5,4.5,23.2,1,1
강동,70,0,0,0,2.7,27.8,1,1
강동,70,0,0,0,4.5,27.4,1,1
강동,70,20,1.5,7,4.7,23.7,1,1
강동,70,24,1,5.5,3.9,21.9,1,1
강동,70,23,25,166.5,3.6,25.7,0,1
강동,70,0,0,0,3.3,25.7,1,1
강동,70,3,5,8.5,3,27.8,1,1
강동,70,24,17,27,4.4,28.6,1,1
강동,70,0,0,0,3,23.1,1,1
강동,70,23,1,5,3.7,21.5,1,1
강동,70,12,9,20.5,3.1,21.8,1,1
강동,70,24,42.5,88.5,3.4,25.3,1,1
강동,70,18,3.5,7.5,3.3,26.7,1,1
강동,70,18,10.5,58,4.1,25.5,1,1
강동,70,20,73,196,4.8,22.8,1,1
강동,70,0,0,0,2.7,25.9,1,1
강동,70,0,0,0,2.9,24.4,1,1
강동,70,14,45,99.5,5.6,21.6,1,1
강동,70,3,30,30,4.2,28.7,0,1
강동,70,8,18,21.5,5.6,26.6,1,1
강동,70,0,0,0,4.1,28.6,1,1
강동,70,0,0,0,4.2,29,1,1
강동,70,0,0,0,4.4,27.9,1,1
강동,70,0,0,0,2.9,28.9,1,1
강동,70,0,0,0,2.8,30.2,1,1
강동,70,0,0,0,3.4,29.4,1,1
강동,70,0,0,0,4.7,28.3,0,1
강동,70,22,39.5,127,4.7,23.8,1,1
강동,70,0,0,0,5.1,26.9,1,1
강동,70,7,0.5,0.5,4,26,0,1
강동,70,14,5,14,6.6,23.7,1,1
강동,70,24,0.5,0.5,3.7,25.6,1,1
강동,70,21,27,128.5,5.1,24.6,1,1
강동,70,24,7.5,21,4.7,26.9,1,1
강동,70,0,0,0,5.5,28.4,1,1
강동,70,23,24,50.5,6.7,24.9,1,1
강동,70,24,34,236.5,3.7,19,1,1
강동,70,24,6,38,2.3,19.4,1,1
강동,70,24,6,34.5,2.6,19.1,1,1
강동,70,0,0,0,2.6,22.4,1,1
강동,70,5,0.5,1,3.4,22,1,1
강동,70,24,1,2,3.8,22.5,1,1
강동,70,23,6.5,12.5,4.5,25.1,1,1
강동,70,0,0,0,2.5,24.3,1,1
강동,70,0,0,0,4.1,24.4,1,1
강동,70,0,0,0,1.7,25.2,1,1
강동,70,24,3,10.5,2.9,22.2,1,1
강동,70,22,22,150,4.9,21.1,1,1
강동,70,24,26,81.5,2.2,22.1,1,1
강동,70,23,10.5,15,3.1,25.2,1,1
강동,70,2,1,1,2.5,23.8,0,1
강동,70,23,22,138.5,5.6,21.2,1,1
강동,70,22,1.5,3.5,4.4,23.4,1,1
강동,70,24,43.5,208,9,23.5,1,1
강동,70,0,0,0,4.5,23.9,1,1
강동,70,0,0,0,3.6,26.8,1,1
강동,70,10,47,59,5,25.4,0,1
강동,70,23,2,2.5,3.4,25.3,1,1
강동,70,0,0,0,4.6,26.3,1,1
강동,70,24,79,274.5,6.7,21.5,1,1
강동,70,16,0.5,0.5,3.9,16.8,1,1
강동,70,0,0,0,4,25.3,0,1
강동,70,18,7.5,13,3.9,22.8,1,1
강동,70,20,12,46,7.4,22.8,1,1
강동,70,24,2,13.5,4.7,19.8,1,1
강동,70,22,15.5,45,4.6,18,1,1
강동,70,24,9,30,6.6,19.1,1,1
강동,70,22,3,10.5,6.7,19.9,1,1
강동,70,1,0.5,0.5,2,24.2,1,1
강동,70,24,32.5,182.5,6.2,21.1,1,1
강동,70,24,9.5,30,4.5,23.8,1,1
강동,70,0,0,0,2,25.9,1,1
강동,70,0,0,0,2.5,25.5,1,1
강동,70,22,38.5,113,3,23.3,1,1
강동,70,8,59.5,156,6.2,25.1,1,1
강동,70,24,56.5,315.5,4.9,23.6,1,1
강동,70,18,39.5,87,4.8,24.9,1,1
강동,70,24,11.5,21,3.1,26.6,1,1
강동,70,21,20.5,61,4.7,22.7,0,1
강동,70,24,52,140,4,20.7,1,1
강동,70,21,31,39,2.4,25.4,1,1
강동,70,4,3.5,6.5,4.5,26.2,1,1
강동,70,24,53,164,5.7,23.7,1,1
강동,70,0,0,0,2,25,1,1
강동,70,24,22,101,6.1,25.2,1,1
강동,70,24,34.5,138.5,6,25.2,1,1
강동,70,22,9,23,2.8,22.3,1,1
강동,70,0,0,0,4.3,22.1,1,1
강동,70,23,31,113.5,4.1,24.1,0,1
강동,70,23,3,6.5,2.9,23.6,1,1
강동,70,0,0,0,2.9,23.3,1,1
강동,70,12,17,39,3.4,21.2,1,1
강동,70,24,49,134.5,4.4,22.9,1,1
강동,70,0,0,0,2.9,23.2,1,1
강동,70,13,1.5,1.5,2.3,23.5,1,1
강북,70,15,10,40.5,4.1,23.8,0,1
강북,70,24,15.5,27,6,23.9,1,1
강북,70,2,7.5,10,2.4,26.4,1,1
강북,70,24,16,32,3.4,25.5,1,1
강북,70,24,37.5,141.5,3.4,24.7,1,1
강북,70,7,43.5,69,6.5,26,1,1
강북,70,24,84.5,162.5,6.3,24.4,1,1
강북,70,24,38,65.5,5.5,25.4,1,1
강북,70,24,74,359.5,4.3,23.2,1,1
강북,70,0,0,0,3.9,25.2,1,1
강북,70,14,26.5,62.5,6.6,23.4,1,1
강북,70,22,22,40.5,4.6,25.5,1,1
강북,70,11,16,19,3.6,24.2,1,1
강북,70,0,0,0,2.8,25.6,1,1
강북,70,0,0,0,3.1,-0.3,1,1
강북,70,24,43,75.5,4.2,23.5,1,1
강북,70,0,0,0,3.2,25.3,1,1
강북,70,16,2,2.5,3.6,24.2,1,1
강북,70,0,0,0,2.8,24.7,1,1
강북,70,0,0,0,5.2,25.3,0,1
강북,70,20,1.5,1.5,4.4,25,1,1
강북,70,20,26,26.5,3.8,26,1,1
강북,70,0,0,0,3.7,28.6,1,1
강북,70,0,0,0,8.2,27.9,1,1
강북,70,21,14,75.5,5,23.8,1,1
강북,70,24,4.5,10.5,3.4,24.1,1,1
강북,70,5,9,13,5.3,26.4,1,1
강북,70,21,20.5,68,5.8,24.5,1,1
강북,70,24,32.5,194.5,5.1,22.8,1,1
강북,70,24,52,282,6.6,19.9,1,1
강북,70,24,12.5,60,10,20.6,1,1
강북,70,0,0,0,6.6,23.1,1,1
강북,70,18,48,99,6.4,28.7,0,1
강북,70,20,9,29.5,8.8,30.1,1,1
강북,70,24,25,112.5,6.2,25.4,1,1
강북,70,24,36,142.5,3.1,24.3,1,1
강북,70,0,0,0,3,28.5,1,1
강북,70,0,0,0,3.1,29,1,1
강북,70,22,3,8.5,3.9,24.6,1,1
강북,70,23,1.5,5,3.5,23.6,1,1
강북,70,0,0,0,3.6,24.3,0,1
강북,70,23,1,4,2.8,23.2,1,1
강북,70,11,15.5,43.5,2,23.2,1,1
강북,70,24,57.5,131,4.3,26.7,1,1
강북,70,17,10,10.5,3.8,28.6,1,1
강북,70,21,18.5,83.5,5.9,26.6,1,1
강북,70,24,50,172.5,4.4,23.9,1,1
강북,70,24,2,4.5,3.8,27.4,1,1
강북,70,0,0,0,2.6,26.3,1,1
강북,70,14,18.5,74.5,2.3,23.3,1,1
강북,70,24,4,13.5,3.8,23.5,0,1
강북,70,6,4.5,8,2.3,25.2,1,1
강북,70,24,13.5,60,6.3,21.9,1,1
강북,70,24,8.5,15.5,6.8,24.2,1,1
강북,70,21,51.5,63.5,6.5,24.4,1,1
강북,70,19,4.5,33,2.3,22,1,1
